id,code,item_set_version,kind,domain,facet,keyed,anchor,block_no,linking,status,quality_rule,text_ja,screening,note
2017,V02-D02-01,0.2,personality,D02,相違の調整,1,true,,false,candidate,,普段、意見が食い違ったときは、お互いが納得できる案を探す。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2018,V02-D02-02,0.2,personality,D02,主張の維持,-1,true,,false,candidate,,普段、相手と希望がぶつかったら、自分の希望を通そうとする。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2019,V02-D02-03,0.2,personality,D02,相手の事情,1,false,0,false,candidate,,普段、頼みごとを断られたら、まず相手の事情を聞いてみる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2020,V02-D02-04,0.2,personality,D02,役割へのこだわり,-1,false,1,false,candidate,,普段、誰かと一緒に作業するとき、やりたい役割は人に譲りたくない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2021,V02-D02-05,0.2,personality,D02,譲歩,1,false,2,false,candidate,,普段、人と予定を合わせるときは、自分の希望を少し譲る。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2022,V02-D02-06,0.2,personality,D02,対立の明示,-1,false,3,false,candidate,,普段、相手の提案に不満があれば、その場ではっきり言う。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2023,V02-D02-07,0.2,personality,D02,案の統合,1,false,4,false,candidate,,普段、意見が分かれたときは、それぞれの案のいいところを組み合わせようとする。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2024,V02-D02-08,0.2,personality,D02,議論での反論,-1,false,5,false,candidate,,普段、話し合いでは、まず相手の案の問題点を指摘する。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2025,V02-D02-09,0.2,personality,D02,負担の調整,1,false,6,false,candidate,,普段、一緒に作業している相手が困っていたら、分担を見直す。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2026,V02-D02-10,0.2,personality,D02,交渉の粘り,-1,false,7,false,candidate,,普段、条件が合わないときは、自分の希望に近づくまで粘って交渉する。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2027,V02-D02-11,0.2,personality,D02,対立時の傾聴,1,false,8,false,candidate,,普段、自分と意見が違う人の話も、理由を最後まで聞く。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2028,V02-D02-12,0.2,personality,D02,妥協への抵抗,-1,false,9,false,candidate,,普段、話し合いが長引いても、納得できない案には賛成しない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2029,V02-D02-13,0.2,personality,D02,協力の提案,1,false,4,false,candidate,,普段、相手と目指すものが同じなら、一緒にやろうと持ちかける。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2030,V02-D02-14,0.2,personality,D02,批判への反論,-1,false,5,false,candidate,,普段、自分の考えを批判されたら、すぐに反論する。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2031,V02-D02-15,0.2,personality,D02,関係を保つ調整,1,false,6,false,candidate,,普段、ささいな行き違いなら、相手のやり方に合わせる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2032,V02-D02-16,0.2,personality,D02,不一致の保持,-1,false,7,false,candidate,,普段、相手と意見が違うときは、無理にすり合わせず、違うままにしておく。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2033,V02-D03-01,0.2,personality,D03,手順の遵守,1,true,,false,candidate,,普段、手順が決まっている作業は、その順番どおりに進める。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2034,V02-D03-02,0.2,personality,D03,物の配置,-1,true,,false,candidate,,普段、よく使う物は、決まった場所に戻すより、手近なところに置いておく。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2035,V02-D03-03,0.2,personality,D03,慣習の尊重,1,false,0,false,candidate,,普段、集まりごとは、これまでのやり方のまま続けたい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2036,V02-D03-04,0.2,personality,D03,手順の変更,-1,false,1,false,candidate,,普段、身の回りのことをするときは、その場に合わせて手順を変える。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2037,V02-D03-05,0.2,personality,D03,環境の整頓,1,false,2,false,candidate,,普段、使った物は元の場所に戻す。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2038,V02-D03-06,0.2,personality,D03,例外の受容,-1,false,3,false,candidate,,普段、ちょっとした決まりごとなら、場合によって例外があってもいいと思う。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2039,V02-D03-07,0.2,personality,D03,順番への関心,1,false,4,false,candidate,,普段、みんなで使う物は、使う順番が決まっていると安心する。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2040,V02-D03-08,0.2,personality,D03,形式への柔軟さ,-1,false,5,false,candidate,,普段、目的さえ果たせれば、決められた形式から外れてもかまわない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2041,V02-D03-09,0.2,personality,D03,分類の維持,1,false,6,false,candidate,,普段、持ち物は種類ごとに分けて整理しておきたい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2042,V02-D03-10,0.2,personality,D03,慣習の見直し,-1,false,7,false,candidate,,普段、昔からの習慣でも、意味がわからなければやめてしまう。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2043,V02-D03-11,0.2,personality,D03,共有ルールの確認,1,false,8,false,candidate,,普段、初めて使う共用の場所では、まず利用のルールを確かめる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2044,V02-D03-12,0.2,personality,D03,整頓へのこだわり,-1,false,9,false,candidate,,普段、身の回りが多少散らかっていても平気だ。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2045,V02-D03-13,0.2,personality,D03,決まりの一貫性,1,false,8,false,candidate,,普段、決まりごとは、誰に対しても同じように当てはめたい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2046,V02-D03-14,0.2,personality,D03,手順の省略,-1,false,9,false,candidate,,普段、慣れた作業なら、手順の一部を飛ばすことがある。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2047,V02-D04-01,0.2,personality,D04,未経験への接近,1,true,,false,candidate,,普段、やったことのないやり方があると、試してみたくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2048,V02-D04-02,0.2,personality,D04,馴染みの選択,-1,true,,false,candidate,,普段、自由に選べるときは、よく知っているものにする。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2049,V02-D04-03,0.2,personality,D04,話題の探索,1,false,0,false,candidate,,普段、知らない話題を見かけると、自分で調べてみる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2050,V02-D04-04,0.2,personality,D04,反復の好み,-1,false,1,false,candidate,,普段、気に入ったことは、同じやり方で何度も繰り返したい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2051,V02-D04-05,0.2,personality,D04,身近な発見,1,false,2,false,candidate,,普段、よく行く場所でも、通ったことのない道を選びたくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2052,V02-D04-06,0.2,personality,D04,関心の範囲,-1,false,3,false,candidate,,普段、読むものは、前から興味のある分野の中から選ぶ。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2053,V02-D04-07,0.2,personality,D04,試行の好み,1,false,4,false,candidate,,普段、日々のちょっとした工夫を試すのが楽しい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2054,V02-D04-08,0.2,personality,D04,定番の好み,-1,false,5,false,candidate,,普段、選べるものが増えても、いつものものにしたい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2055,V02-D04-09,0.2,personality,D04,未知の活動,1,false,6,false,candidate,,普段、身近な人が自分の知らないことを始めると、自分もやってみたくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2056,V02-D04-10,0.2,personality,D04,変化の必要性,-1,false,7,false,candidate,,普段、いつもの過ごし方を変えたいとは、あまり思わない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2057,V02-D04-11,0.2,personality,D04,新しい見方,1,false,8,false,candidate,,普段、よく知っている話題でも、別の見方がないか考える。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2058,V02-D04-12,0.2,personality,D04,新規情報への接近,-1,false,9,false,candidate,,普段、初めて聞く話より、よく知っている話のほうが楽しめる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2059,V02-D04-13,0.2,personality,D04,日常の変化,1,false,0,false,candidate,,普段、いつもと少し違う過ごし方を、自分から考えてみる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2060,V02-D04-14,0.2,personality,D04,試す前の関心,-1,false,1,false,candidate,,普段、新しい方法を知っても、使い慣れたやり方で十分だと思う。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2061,V02-D04-15,0.2,personality,D04,選択肢の開拓,1,false,2,false,candidate,,普段、暇なときは、これまでしたことのない楽しみ方を探す。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2062,V02-D04-16,0.2,personality,D04,馴染みへの滞在,-1,false,3,false,candidate,,普段、好きなものが見つかると、それ以上ほかを探そうとは思わなくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2063,V02-D05-01,0.2,personality,D05,未決着の保持,1,true,,false,candidate,,普段、結論の出ない話でも、しばらくそのままにしておける。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2064,V02-D05-02,0.2,personality,D05,予定の未確定,-1,true,,false,candidate,,普段、予定がなかなか決まらないと、何度も確認したくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2065,V02-D05-03,0.2,personality,D05,情報不足への対応,1,false,0,false,candidate,,普段、説明が足りないときでも、わかるところから手をつける。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2066,V02-D05-04,0.2,personality,D05,曖昧な返答,-1,false,1,false,candidate,,普段、あいまいな返事をされると、どういう意味か確かめたくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2067,V02-D05-05,0.2,personality,D05,結果待ち,1,false,2,false,candidate,,普段、結果を待っている間も、ほかのことに気持ちを向けられる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2068,V02-D05-06,0.2,personality,D05,見通しの不足,-1,false,3,false,candidate,,普段、この先どうなるかわからないと、落ち着かない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2069,V02-D05-07,0.2,personality,D05,複数解釈の保持,1,false,4,false,candidate,,普段、理由がいくつか考えられるときは、無理に一つに絞らずにおける。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2070,V02-D05-08,0.2,personality,D05,指示の不足,-1,false,5,false,candidate,,普段、頼まれたことの中身があいまいだと、詳しく聞くまで動き出しにくい。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2071,V02-D05-09,0.2,personality,D05,未定の時間,1,false,6,false,candidate,,普段、空き時間に何をするか決まっていなくても平気だ。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2072,V02-D05-10,0.2,personality,D05,予想外への反応,-1,false,7,false,candidate,,普段、急に状況が変わると、全体がつかめるまで戸惑う。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2073,V02-D05-11,0.2,personality,D05,不明点との共存,1,false,8,false,candidate,,普段、話の途中でわからないところがあっても、そのまま聞き続けられる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2074,V02-D05-12,0.2,personality,D05,確約への欲求,-1,false,9,false,candidate,,普段、相手の予定が決まっていないと、いつ決まるのか気になる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2075,V02-D05-13,0.2,personality,D05,先行きの保留,1,false,4,false,candidate,,普段、先が読めないときでも、今できることを進める。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2076,V02-D05-14,0.2,personality,D05,情報の確認,-1,false,5,false,candidate,,普段、情報が食い違うと、どちらが正しいかすぐに確かめたくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2077,V02-D06-01,0.2,personality,D06,段取り,1,true,,false,candidate,,普段、やることがいくつかあるときは、先に取りかかる順番を考える。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2078,V02-D06-02,0.2,personality,D06,着手の時期,-1,true,,false,candidate,,普段、締め切りのある用事は、締め切りが近づいてから手をつける。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2079,V02-D06-03,0.2,personality,D06,進行の確認,1,false,0,false,candidate,,普段、時間のかかることは、途中で進み具合を確かめながら進める。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2080,V02-D06-04,0.2,personality,D06,気分による変更,-1,false,1,false,candidate,,普段、やろうと思っていたことより、そのときの気分でやりたいことを先に始める。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2081,V02-D06-05,0.2,personality,D06,継続の工夫,1,false,2,false,candidate,,普段、続けたいことは、毎日の習慣に組み込む。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2082,V02-D06-06,0.2,personality,D06,注意の移動,-1,false,3,false,candidate,,普段、作業中にほかのことが気になると、そちらに手をつける。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2083,V02-D06-07,0.2,personality,D06,負担の分割,1,false,4,false,candidate,,普段、大きな用事は、何回かに分けて進める。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2084,V02-D06-08,0.2,personality,D06,中途での切替,-1,false,5,false,candidate,,普段、単調な作業が続くと、終わらないうちに別のことを始める。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2085,V02-D06-09,0.2,personality,D06,誘惑への対処,1,false,6,false,candidate,,普段、やることを決めたら、気が散りそうなものを遠ざける。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2086,V02-D06-10,0.2,personality,D06,予定の記録,-1,false,7,false,candidate,,普段、予定や用事は、メモせずに頭で覚えておく。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2087,V02-D06-11,0.2,personality,D06,締切の余裕,1,false,8,false,candidate,,普段、締め切りのある用事は、余裕をもって終わらせようとする。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2088,V02-D06-12,0.2,personality,D06,着手の即興性,-1,false,9,false,candidate,,普段、段取りを考えるより先に、目についたことから始める。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2089,V02-D06-13,0.2,personality,D06,再開の習慣,1,false,6,false,candidate,,普段、途中で中断した作業には、ほかのことが一段落したら戻る。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2090,V02-D06-14,0.2,personality,D06,衝動の受容,-1,false,7,false,candidate,,普段、急にやりたいことを思いつくと、すぐ行動に移す。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2091,V02-D06-15,0.2,personality,D06,予定の見直し,1,false,8,false,candidate,,普段、予定どおりに進まないときは、残りの段取りを組み直す。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2092,V02-D06-16,0.2,personality,D06,先送り,-1,false,9,false,candidate,,普段、気の進まない用事は、ほかのことをしているうちに後回しになる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2093,V02-D07-01,0.2,personality,D07,喜びの立ち上がり,1,true,,false,candidate,,普段、うれしい知らせを聞くと、すぐに気持ちが弾む。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2094,V02-D07-02,0.2,personality,D07,苛立ちの起きにくさ,-1,true,,false,candidate,,普段、予定が少しずれたくらいでは、気持ちはあまり波立たない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2095,V02-D07-03,0.2,personality,D07,感動の強さ,1,false,0,false,candidate,,普段、心に響く話に出会うと、深く感動する。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2096,V02-D07-04,0.2,personality,D07,高揚の穏やかさ,-1,false,1,false,candidate,,普段、楽しみな予定が決まっても、気持ちはそれほど浮き立たない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2097,V02-D07-05,0.2,personality,D07,落胆の立ち上がり,1,false,2,false,candidate,,普段、楽しみにしていたことがなくなると、すぐにがっかりする。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2098,V02-D07-06,0.2,personality,D07,驚きの穏やかさ,-1,false,3,false,candidate,,普段、思いがけない知らせを聞いても、それほど驚かない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2099,V02-D07-07,0.2,personality,D07,不快の強さ,1,false,4,false,candidate,,普段、ささいな行き違いでも、強くいらだつことがある。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2100,V02-D07-08,0.2,personality,D07,喜びの穏やかさ,-1,false,5,false,candidate,,普段、何かがうまくいっても、うれしさはほどほどだ。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2101,V02-D07-09,0.2,personality,D07,楽しさの広がり,1,false,6,false,candidate,,普段、好きなことを始めると、すぐに楽しい気分になる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2102,V02-D07-10,0.2,personality,D07,落胆の穏やかさ,-1,false,7,false,candidate,,普段、ちょっとした期待外れくらいでは、気分はあまり変わらない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2103,V02-D07-11,0.2,personality,D07,心配の立ち上がり,1,false,8,false,candidate,,普段、気がかりな知らせを聞くと、すぐに心配になる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2104,V02-D07-12,0.2,personality,D07,感動の起きにくさ,-1,false,9,false,candidate,,普段、心温まる話を聞いても、気持ちはそれほど動かない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2105,V02-D07-13,0.2,personality,D07,親切への喜び,1,false,0,false,candidate,,普段、思いがけず親切にされると、とてもうれしくなる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2106,V02-D07-14,0.2,personality,D07,待つ場面の反応,-1,false,1,false,candidate,,普段、少し待たされたくらいでは、あまりいらいらしない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2107,V02-D07-15,0.2,personality,D07,雰囲気への反応,1,false,2,false,candidate,,普段、楽しそうな雰囲気の場に入ると、自分もすぐに明るい気分になる。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2108,V02-D07-16,0.2,personality,D07,失敗直後の反応,-1,false,3,false,candidate,,普段、ちょっとした失敗をしても、それほど動揺しない。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2109,V02-D08-01,0.2,personality,D08,切替の速さ,1,true,,false,candidate,,普段、気まずいやり取りがあっても、別のことを始めれば気分は元に戻る。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2110,V02-D08-02,0.2,personality,D08,反芻,-1,true,,false,candidate,,普段、嫌なことがあると、その場面が何度も頭に浮かぶ。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2111,V02-D08-03,0.2,personality,D08,休息後の回復,1,false,0,false,candidate,,普段、気を張る用事のあとでも、ひと休みすれば落ち着く。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2112,V02-D08-04,0.2,personality,D08,翌日への持越し,-1,false,1,false,candidate,,普段、腹の立つことがあると、次の日までその気持ちが残る。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2113,V02-D08-05,0.2,personality,D08,活動による回復,1,false,2,false,candidate,,普段、気分が沈んだときは、好きなことをして気持ちを切り替える。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
2114,V02-D08-06,0.2,personality,D08,注意の残留,-1,false,3,false,candidate,,普段、引っかかるやり取りがあると、ほかのことをしていても思い出す。,normal,文面・極性・割当は2026-09-22にkokimizaが承認。旧版0.1とは尺度を接続しない（linking=false）。
