id,code,item_set_version,kind,domain,facet,keyed,anchor,block_no,linking,status,quality_rule,text_ja,screening,note
2018,V02-D02-02,0.2,personality,D02,主張の維持,-1,true,,false,candidate,,普段、相手と希望がぶつかったときは、自分の希望を通そうとする。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2019,V02-D02-03,0.2,personality,D02,相手の事情,1,false,0,false,candidate,,普段、頼みごとを断られたときは、相手の事情を確かめる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2020,V02-D02-04,0.2,personality,D02,役割へのこだわり,-1,false,1,false,candidate,,普段、共同の作業では、自分が希望する役割を譲りたくない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2021,V02-D02-05,0.2,personality,D02,譲歩,1,false,2,false,candidate,,普段、共同の予定を決めるとき、自分の希望を一部変える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2022,V02-D02-06,0.2,personality,D02,対立の明示,-1,false,3,false,candidate,,普段、相手の提案に不満があると、その場ではっきり伝える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2023,V02-D02-07,0.2,personality,D02,案の統合,1,false,4,false,candidate,,普段、意見が分かれたとき、それぞれの案を組み合わせようとする。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2024,V02-D02-08,0.2,personality,D02,議論での反論,-1,false,5,false,candidate,,普段、話し合いでは、相手の案の問題点を先に伝える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2025,V02-D02-09,0.2,personality,D02,負担の調整,1,false,6,false,candidate,,普段、一緒にする作業で相手が困っていたら、分担を見直す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2026,V02-D02-10,0.2,personality,D02,交渉の粘り,-1,false,7,false,candidate,,普段、条件が合わないときは、自分の希望に近づくまで交渉する。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2027,V02-D02-11,0.2,personality,D02,対立時の傾聴,1,false,8,false,candidate,,普段、自分と意見が違う相手にも、その理由を最後まで聞く。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2028,V02-D02-12,0.2,personality,D02,妥協への抵抗,-1,false,9,false,candidate,,普段、話し合いが長引いても、納得できない案には賛成しない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2029,V02-D02-13,0.2,personality,D02,協力の提案,1,false,4,false,candidate,,普段、相手と目標が重なるときは、協力する方法を提案する。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2030,V02-D02-14,0.2,personality,D02,批判への反論,-1,false,5,false,candidate,,普段、自分の考えを批判されたら、すぐに反論を伝える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2031,V02-D02-15,0.2,personality,D02,関係を保つ調整,1,false,6,false,candidate,,普段、些細な行き違いなら、相手のやり方に合わせる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2032,V02-D02-16,0.2,personality,D02,不一致の保持,-1,false,7,false,candidate,,普段、相手との意見の違いは、無理にまとめず残しておく。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2033,V02-D03-01,0.2,personality,D03,手順の遵守,1,true,,false,candidate,,普段、決まった手順がある作業は、その順序に沿って進める。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2034,V02-D03-02,0.2,personality,D03,物の配置,-1,true,,false,candidate,,普段、よく使う物は、決まった場所より置きやすい場所に置く。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2035,V02-D03-03,0.2,personality,D03,慣習の尊重,1,false,0,false,candidate,,普段、集まりでは、以前からのやり方を続けたい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2036,V02-D03-04,0.2,personality,D03,手順の変更,-1,false,1,false,candidate,,普段、日常の作業では、その場に合わせて決まった手順を変える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2037,V02-D03-05,0.2,personality,D03,環境の整頓,1,false,2,false,candidate,,普段、使った物を元の場所へ戻す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2038,V02-D03-06,0.2,personality,D03,例外の受容,-1,false,3,false,candidate,,普段、日常の小さな決まりには、その場に応じた例外があってよいと思う。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2039,V02-D03-07,0.2,personality,D03,順番への関心,1,false,4,false,candidate,,普段、共同で使う物の順番が決まっていると安心する。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2040,V02-D03-08,0.2,personality,D03,形式への柔軟さ,-1,false,5,false,candidate,,普段、目的が同じなら、決められた形式から外れても気にならない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2041,V02-D03-09,0.2,personality,D03,分類の維持,1,false,6,false,candidate,,普段、持ち物は種類ごとに分けておきたい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2042,V02-D03-10,0.2,personality,D03,慣習の見直し,-1,false,7,false,candidate,,普段、長く続いている習慣でも、理由が分からなければ省く。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2043,V02-D03-11,0.2,personality,D03,共有ルールの確認,1,false,8,false,candidate,,普段、初めて使う共有の場所では、利用の決まりを確かめる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2044,V02-D03-12,0.2,personality,D03,整頓へのこだわり,-1,false,9,false,candidate,,普段、周りの物が整然と並んでいなくても気にならない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2045,V02-D03-13,0.2,personality,D03,決まりの一貫性,1,false,8,false,candidate,,普段、日常の決まりは、誰に対しても同じように扱いたい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2046,V02-D03-14,0.2,personality,D03,手順の省略,-1,false,9,false,candidate,,普段、慣れた作業では、決まった手順の一部を省くことがある。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2047,V02-D04-01,0.2,personality,D04,未経験への接近,1,true,,false,candidate,,普段、まだ試したことのないやり方を試したくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2048,V02-D04-02,0.2,personality,D04,馴染みの選択,-1,true,,false,candidate,,普段、自由に選べるときは、よく知っているものを選ぶ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2049,V02-D04-03,0.2,personality,D04,話題の探索,1,false,0,false,candidate,,普段、知らない話題を見かけると、自分から調べる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2050,V02-D04-04,0.2,personality,D04,反復の好み,-1,false,1,false,candidate,,普段、気に入ったことを同じように繰り返すのが好きだ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2051,V02-D04-05,0.2,personality,D04,身近な発見,1,false,2,false,candidate,,普段、見慣れた場所でも、通ったことのない道を選びたくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2052,V02-D04-06,0.2,personality,D04,関心の範囲,-1,false,3,false,candidate,,普段、読むものは、以前から関心のある分野から選ぶ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2053,V02-D04-07,0.2,personality,D04,試行の好み,1,false,4,false,candidate,,普段、日常のちょっとした工夫を試すのが楽しい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2054,V02-D04-08,0.2,personality,D04,定番の好み,-1,false,5,false,candidate,,普段、選択肢が増えても、いつものものを選びたい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2055,V02-D04-09,0.2,personality,D04,未知の活動,1,false,6,false,candidate,,普段、身近な人が知らない活動をしていると、自分も試したくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2056,V02-D04-10,0.2,personality,D04,変化の必要性,-1,false,7,false,candidate,,普段、いつもの過ごし方を変えたいと思うことは少ない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2057,V02-D04-11,0.2,personality,D04,新しい見方,1,false,8,false,candidate,,普段、なじみのある話題についても、違う見方を探す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2058,V02-D04-12,0.2,personality,D04,新規情報への接近,-1,false,9,false,candidate,,普段、初めて聞く話題より、よく知る話題を楽しむ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2059,V02-D04-13,0.2,personality,D04,日常の変化,1,false,0,false,candidate,,普段、少し変わった過ごし方を自分から考える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2060,V02-D04-14,0.2,personality,D04,試す前の関心,-1,false,1,false,candidate,,普段、新しい方法を知っても、使い慣れた方法で十分だと思う。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2061,V02-D04-15,0.2,personality,D04,選択肢の開拓,1,false,2,false,candidate,,普段、暇なときは、これまで選ばなかった楽しみ方を探す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2062,V02-D04-16,0.2,personality,D04,馴染みへの滞在,-1,false,3,false,candidate,,普段、好きなものが見つかると、ほかのものを探す気持ちは落ち着く。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2063,V02-D05-01,0.2,personality,D05,未決着の保持,1,true,,false,candidate,,普段、結論が出ない話でも、しばらく答えを保留にできる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2064,V02-D05-02,0.2,personality,D05,予定の未確定,-1,true,,false,candidate,,普段、予定がまだ決まらないと、何度も確認したくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2065,V02-D05-03,0.2,personality,D05,情報不足への対応,1,false,0,false,candidate,,普段、説明が十分でないときも、分かる範囲から取りかかる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2066,V02-D05-04,0.2,personality,D05,曖昧な返答,-1,false,1,false,candidate,,普段、はっきりしない返事を受けると、意味を確かめたくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2067,V02-D05-05,0.2,personality,D05,結果待ち,1,false,2,false,candidate,,普段、結果を待つ間も、別のことに意識を向けられる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2068,V02-D05-06,0.2,personality,D05,見通しの不足,-1,false,3,false,candidate,,普段、これからの流れが分からないと、落ち着いて過ごしにくい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2069,V02-D05-07,0.2,personality,D05,複数解釈の保持,1,false,4,false,candidate,,普段、説明がいくつか考えられる状況を、そのままにしておける。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2070,V02-D05-08,0.2,personality,D05,指示の不足,-1,false,5,false,candidate,,普段、頼まれた内容が曖昧だと、詳しい説明を得るまで動きにくい。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2071,V02-D05-09,0.2,personality,D05,未定の時間,1,false,6,false,candidate,,普段、空き時間の予定が決まっていなくても気にならない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2072,V02-D05-10,0.2,personality,D05,予想外への反応,-1,false,7,false,candidate,,普段、急に状況が変わると、全体を把握するまで戸惑う。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2073,V02-D05-11,0.2,personality,D05,不明点との共存,1,false,8,false,candidate,,普段、話の一部が分からなくても、残りの部分を聞き続けられる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2074,V02-D05-12,0.2,personality,D05,確約への欲求,-1,false,9,false,candidate,,普段、相手の予定が未定のときは、いつ決まるか知りたくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2075,V02-D05-13,0.2,personality,D05,先行きの保留,1,false,4,false,candidate,,普段、先のことが読めないときも、今できることに取り組む。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2076,V02-D05-14,0.2,personality,D05,情報の確認,-1,false,5,false,candidate,,普段、情報が食い違うと、どちらが正しいかすぐに確かめたくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2077,V02-D06-01,0.2,personality,D06,段取り,1,true,,false,candidate,,普段、複数の用事があるときは、取りかかる順番を先に考える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2078,V02-D06-02,0.2,personality,D06,着手の時期,-1,true,,false,candidate,,普段、期限のある用事は、期限が近づいてから取りかかる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2079,V02-D06-03,0.2,personality,D06,進行の確認,1,false,0,false,candidate,,普段、時間のかかることでは、途中で進み具合を確かめる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2080,V02-D06-04,0.2,personality,D06,気分による変更,-1,false,1,false,candidate,,普段、するつもりだったことより、そのとき気が向いたことを始める。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2081,V02-D06-05,0.2,personality,D06,継続の工夫,1,false,2,false,candidate,,普段、続けたいことは、日々の過ごし方に組み込む。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2082,V02-D06-06,0.2,personality,D06,注意の移動,-1,false,3,false,candidate,,普段、作業の途中で別のことが気になると、そちらを始める。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2083,V02-D06-07,0.2,personality,D06,負担の分割,1,false,4,false,candidate,,普段、大きな用事は、何回かに分けて進める。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2084,V02-D06-08,0.2,personality,D06,中途での切替,-1,false,5,false,candidate,,普段、単調なことが続くと、終える前に別のことへ移る。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2085,V02-D06-09,0.2,personality,D06,誘惑への対処,1,false,6,false,candidate,,普段、今することを決めたら、気を引くものを遠ざける。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2086,V02-D06-10,0.2,personality,D06,予定の記録,-1,false,7,false,candidate,,普段、覚えておく用事は、書き留めずに頭に入れておく。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2087,V02-D06-11,0.2,personality,D06,締切の余裕,1,false,8,false,candidate,,普段、期限のある用事は、余裕を残して終えようとする。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2088,V02-D06-12,0.2,personality,D06,着手の即興性,-1,false,9,false,candidate,,普段、段取りを考える前に、目についたことから始める。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2089,V02-D06-13,0.2,personality,D06,再開の習慣,1,false,6,false,candidate,,普段、中断した作業には、区切りがついたら戻る。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2090,V02-D06-14,0.2,personality,D06,衝動の受容,-1,false,7,false,candidate,,普段、急にやりたいことが浮かぶと、そのまま行動に移す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2091,V02-D06-15,0.2,personality,D06,予定の見直し,1,false,8,false,candidate,,普段、予定どおりに進まないと、残りの段取りを組み直す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2092,V02-D06-16,0.2,personality,D06,先送り,-1,false,9,false,candidate,,普段、気の進まない用事は、別の用事をしているうちに後回しになる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2093,V02-D07-01,0.2,personality,D07,喜びの立ち上がり,1,true,,false,candidate,,普段、うれしい知らせを聞くと、すぐに気持ちが弾む。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2094,V02-D07-02,0.2,personality,D07,苛立ちの起きにくさ,-1,true,,false,candidate,,普段、ちょっとした予定のずれでは、気持ちはあまり動かない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2095,V02-D07-03,0.2,personality,D07,感動の強さ,1,false,0,false,candidate,,普段、心に響く話に触れると、強く感動する。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2096,V02-D07-04,0.2,personality,D07,高揚の穏やかさ,-1,false,1,false,candidate,,普段、楽しみなことが決まっても、気持ちは穏やかなままだ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2097,V02-D07-05,0.2,personality,D07,落胆の立ち上がり,1,false,2,false,candidate,,普段、期待していたことがなくなると、すぐにがっかりする。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2098,V02-D07-06,0.2,personality,D07,驚きの穏やかさ,-1,false,3,false,candidate,,普段、意外な知らせにも、あまり大きく驚かない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2099,V02-D07-07,0.2,personality,D07,不快の強さ,1,false,4,false,candidate,,普段、些細な行き違いでも、いらだちを強く感じることがある。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2100,V02-D07-08,0.2,personality,D07,喜びの穏やかさ,-1,false,5,false,candidate,,普段、うまくいったときも、喜び方は控えめなほうだ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2101,V02-D07-09,0.2,personality,D07,楽しさの広がり,1,false,6,false,candidate,,普段、好きなことを始めると、すぐに楽しい気分になる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2102,V02-D07-10,0.2,personality,D07,落胆の穏やかさ,-1,false,7,false,candidate,,普段、小さな期待外れでは、気分はあまり変わらない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2103,V02-D07-11,0.2,personality,D07,心配の立ち上がり,1,false,8,false,candidate,,普段、気になる知らせを聞くと、すぐに心配な気持ちになる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2104,V02-D07-12,0.2,personality,D07,感動の起きにくさ,-1,false,9,false,candidate,,普段、心温まる話を聞いても、感情はそれほど大きく動かない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2105,V02-D07-13,0.2,personality,D07,親切への喜び,1,false,0,false,candidate,,普段、思いがけず親切にされると、強くうれしさを感じる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2106,V02-D07-14,0.2,personality,D07,待つ場面の反応,-1,false,1,false,candidate,,普段、少し待たされても、いらだちはあまり起きない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2107,V02-D07-15,0.2,personality,D07,雰囲気への反応,1,false,2,false,candidate,,普段、楽しい雰囲気の場に入ると、自分の気分もすぐに明るくなる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2108,V02-D07-16,0.2,personality,D07,失敗直後の反応,-1,false,3,false,candidate,,普段、小さな失敗をした直後も、感情の動きは穏やかだ。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2109,V02-D08-01,0.2,personality,D08,切替の速さ,1,true,,false,candidate,,普段、気まずいやり取りの後でも、別のことを始めると気分が戻る。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2110,V02-D08-02,0.2,personality,D08,反芻,-1,true,,false,candidate,,普段、嫌なことがあった後は、その場面を何度も思い返す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2111,V02-D08-03,0.2,personality,D08,休息後の回復,1,false,0,false,candidate,,普段、気を張る用事の後は、ひと休みすると気持ちが落ち着く。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2112,V02-D08-04,0.2,personality,D08,翌日への持越し,-1,false,1,false,candidate,,普段、腹の立つ出来事の後は、翌日にもその気持ちが残る。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2113,V02-D08-05,0.2,personality,D08,活動による回復,1,false,2,false,candidate,,普段、気分が沈んだ後は、好きなことをして気持ちを切り替える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2114,V02-D08-06,0.2,personality,D08,注意の残留,-1,false,3,false,candidate,,普段、気になるやり取りの後は、別のことをしていても思い出す。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2115,V02-D08-07,0.2,personality,D08,時間による回復,1,false,4,false,candidate,,普段、嫌な気持ちになっても、時間がたつと自然に薄れていく。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2116,V02-D08-08,0.2,personality,D08,再想起による再燃,-1,false,5,false,candidate,,普段、不快な出来事の後は、思い出すたびに気持ちが戻ってくる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2117,V02-D08-09,0.2,personality,D08,区切りによる回復,1,false,6,false,candidate,,普段、面倒な用事を終えた後は、気持ちにも区切りがつく。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2118,V02-D08-10,0.2,personality,D08,余韻の長さ,-1,false,7,false,candidate,,普段、重苦しい話を聞いた後は、その気分が長く続く。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2119,V02-D08-11,0.2,personality,D08,気分転換の選択,1,false,8,false,candidate,,普段、もやもやした後は、少し過ごす場所を変える。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2120,V02-D08-12,0.2,personality,D08,落ち着くまでの時間,-1,false,9,false,candidate,,普段、人とのすれ違いの後は、気持ちが落ち着くまで時間がかかる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2121,V02-D08-13,0.2,personality,D08,会話による整理,1,false,4,false,candidate,,普段、気が重くなる出来事の後は、誰かに話すと気持ちが整理される。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2122,V02-D08-14,0.2,personality,D08,用事後の緊張,-1,false,5,false,candidate,,普段、緊張する用事が済んだ後も、しばらく気持ちが張りつめている。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2123,V02-D09-01,0.2,personality,D09,評価後の安定,1,true,,false,candidate,,普段、周りの評価が変わっても、自分の見方はあまり変わらない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2124,V02-D09-02,0.2,personality,D09,成功による上昇,-1,true,,false,candidate,,普段、物事がうまくいくと、自分全体への評価も上がる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2125,V02-D09-03,0.2,personality,D09,失敗後の局所化,1,false,0,false,candidate,,普段、一つ失敗しても、自分についての全体的な見方は変わらない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2126,V02-D09-04,0.2,personality,D09,批判による低下,-1,false,1,false,candidate,,普段、意見を批判されると、自分への自信も下がる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2127,V02-D09-05,0.2,personality,D09,比較後の安定,1,false,2,false,candidate,,普段、他の人の成果を見ても、自分への評価は大きく変わらない。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
2128,V02-D09-06,0.2,personality,D09,称賛による上昇,-1,false,3,false,candidate,,普段、人に褒められると、自分への自信がはっきり高まる。,normal,公開前レビュー用。文面・極性・割当は未承認。旧版との尺度接続は未検証。
